Date,NRKDischargeMax,NRKDischargeMin,NRKDischargeMean,NRKGageHeightMax,NRKGageHeightMin,NRKGageHeightMean
12/02/2011,"1,790","1,790","1,200",6.12,4.97,5.62
12/03/2011,"1,820","1,820","1,690",6.18,5.93,6.11
12/04/2011,"1,690","1,690","1,390",5.93,5.37,5.64
12/05/2011,"1,390","1,390","1,200",5.37,4.97,5.16
12/06/2011,"1,200","1,200","1,050",4.97,4.65,4.8
12/07/2011,"1,050","1,050",968,4.65,4.46,4.55
12/08/2011,968,968,902,4.46,4.31,4.38
12/09/2011,902,902,851,4.31,4.19,4.25
12/10/2011,851,851,825,4.19,4.13,4.15
12/11/2011,868,868,825,4.23,4.13,4.16
12/12/2011,885,885,868,4.27,4.23,4.26
12/13/2011,872,872,825,4.24,4.13,4.19
12/14/2011,825,825,783,4.13,4.03,4.08
12/15/2011,783,783,733,4.03,3.91,3.98
12/16/2011,733,733,709,3.91,3.85,3.88
12/17/2011,709,709,680,3.85,3.78,3.81
12/18/2011,680,680,656,3.78,3.72,3.75
12/19/2011,656,656,640,3.72,3.68,3.7
12/20/2011,733,733,632,3.91,3.66,3.73
12/21/2011,804,804,733,4.08,3.91,4.02
12/22/2011,800,800,771,4.07,4,4.04
12/23/2011,771,771,729,4,3.9,3.96
12/24/2011,729,729,696,3.9,3.82,3.86
12/25/2011,696,696,688,3.82,3.8,3.81
12/26/2011,688,688,672,3.8,3.76,3.78
12/27/2011,746,746,668,3.94,3.75,3.82
12/28/2011,796,796,746,4.06,3.94,3.99
12/29/2011,796,796,783,4.06,4.03,4.05
12/30/2011,990,990,783,4.51,4.03,4.18
12/31/2011,"1,200","1,200",990,4.97,4.51,4.84
01/01/2012,"1,200","1,200","1,070",4.97,4.7,4.86
01/02/2012,"1,070","1,070",946,4.7,4.41,4.54
01/03/2012,946,946,855,4.41,4.2,4.3
01/04/2012,855,855,796,4.2,4.06,4.12
01/05/2012,796,796,783,4.06,4.03,4.04
01/06/2012,796,796,787,4.06,4.04,4.05
01/07/2012,787,787,754,4.04,3.96,4.01
01/08/2012,754,754,705,3.96,3.84,3.9
01/09/2012,709,709,688,3.85,3.8,3.82
01/10/2012,688,688,676,3.8,3.77,3.78
01/11/2012,754,754,672,3.96,3.76,3.81
01/12/2012,959,959,754,4.44,3.96,4.13
01/13/2012,"1,140","1,140",959,4.85,4.44,4.69
01/14/2012,"1,220","1,220","1,140",5.02,4.85,4.92
01/15/2012,"1,300","1,300","1,220",5.19,5.02,5.14
01/16/2012,"1,300","1,300","1,170",5.18,4.92,5.07
01/17/2012,"1,170","1,170","1,040",4.92,4.63,4.77
01/18/2012,"1,040","1,040",972,4.63,4.47,4.55
01/19/2012,990,990,963,4.51,4.45,4.48
01/20/2012,"1,020","1,020",990,4.57,4.51,4.54
01/21/2012,"1,110","1,110","1,020",4.78,4.57,4.68
01/22/2012,"1,250","1,250","1,110",5.08,4.78,4.92
01/23/2012,"1,380","1,380","1,250",5.33,5.08,5.21
01/24/2012,"1,780","1,780","1,380",6.11,5.33,5.69
01/25/2012,"1,920","1,920","1,780",6.36,6.11,6.3
01/26/2012,"1,910","1,910","1,720",6.34,5.98,6.18
01/27/2012,"1,720","1,720","1,540",5.98,5.66,5.83
01/28/2012,"1,540","1,540","1,470",5.66,5.52,5.58
01/29/2012,"1,470","1,470","1,380",5.52,5.34,5.41
01/30/2012,"1,520","1,520","1,380",5.61,5.35,5.47
01/31/2012,"1,540","1,540","1,470",5.65,5.52,5.62
02/01/2012,"1,470","1,470","1,290",5.52,5.17,5.36
02/02/2012,"1,290","1,290","1,170",5.17,4.92,5.05
02/03/2012,"1,170","1,170","1,090",4.92,4.73,4.82
02/04/2012,"1,090","1,090","1,020",4.73,4.59,4.66
02/05/2012,"1,040","1,040","1,020",4.63,4.57,4.6
02/06/2012,"1,070","1,070","1,020",4.69,4.59,4.63
02/07/2012,"1,290","1,290","1,070",5.16,4.69,4.85
02/08/2012,"1,640","1,640","1,290",5.84,5.16,5.58
02/09/2012,"1,650","1,650","1,550",5.86,5.67,5.81
02/10/2012,"1,550","1,550","1,360",5.67,5.3,5.48
02/11/2012,"1,360","1,360","1,220",5.3,5.01,5.15
02/12/2012,"1,220","1,220","1,130",5.01,4.82,4.92
02/13/2012,"1,130","1,130","1,030",4.82,4.61,4.72
02/14/2012,"1,030","1,030",946,4.61,4.41,4.51
02/15/2012,946,946,872,4.41,4.24,4.32
02/16/2012,872,872,834,4.24,4.15,4.19
02/17/2012,834,834,821,4.15,4.12,4.13
02/18/2012,829,829,817,4.14,4.11,4.12
02/19/2012,919,919,817,4.35,4.11,4.2
02/20/2012,"1,220","1,220",919,5.01,4.35,4.64
02/21/2012,"1,360","1,360","1,220",5.29,5.01,5.22
02/22/2012,"1,660","1,660","1,360",5.87,5.29,5.48
02/23/2012,"1,930","1,930","1,660",6.38,5.87,6.22
02/24/2012,"1,930","1,930","1,840",6.38,6.21,6.31
02/25/2012,"1,840","1,840","1,760",6.21,6.06,6.09
02/26/2012,"1,760","1,760","1,680",6.07,5.91,6
02/27/2012,"1,680","1,680","1,600",5.91,5.77,5.83
02/28/2012,"1,600","1,600","1,500",5.77,5.56,5.68
02/29/2012,"1,500","1,500","1,300",5.56,5.18,5.36
03/01/2012,"1,300","1,300","1,180",5.18,4.94,5.05
03/02/2012,"1,180","1,180","1,140",4.94,4.85,4.89
03/03/2012,"1,350","1,350","1,140",5.28,4.84,5.06
03/04/2012,,,"1,880",6.84,5.28,6.08
03/05/2012,,,"2,760",8.38,6.84,7.62
03/06/2012,"3,660","3,660","3,020",9.48,8.38,8.98
03/07/2012,"3,990","3,990","3,660",10.03,9.48,9.8
03/08/2012,"4,020","4,020","3,870",10.07,9.83,10.01
03/09/2012,"3,870","3,870","3,190",9.83,8.67,9.32
03/10/2012,,,"2,650",8.67,7.36,7.97
03/11/2012,"2,450","2,450","2,030",7.36,6.56,6.94
03/12/2012,"2,030","2,030","1,760",6.56,6.07,6.29
03/13/2012,"1,760","1,760","1,570",6.07,5.71,5.89
03/14/2012,"1,570","1,570","1,440",5.71,5.45,5.57
03/15/2012,"1,440","1,440","1,350",5.45,5.27,5.36
03/16/2012,"1,350","1,350","1,270",5.27,5.11,5.19
03/17/2012,"1,270","1,270","1,240",5.11,5.07,5.08
03/18/2012,"1,240","1,240","1,190",5.07,4.96,5.02
03/19/2012,"1,190","1,190","1,160",4.96,4.89,4.92
03/20/2012,"1,220","1,220","1,160",5.01,4.88,4.9
03/21/2012,"1,530","1,530","1,220",5.63,5.01,5.37
03/22/2012,"1,670","1,670","1,530",5.88,5.63,5.73
03/23/2012,,,"2,040",7.09,5.88,6.4
03/24/2012,"2,720","2,720","2,310",7.84,7.09,7.59
03/25/2012,"2,940","2,940","2,720",8.24,7.84,7.96
03/26/2012,"3,540","3,540","2,940",9.27,8.24,8.79
03/27/2012,"4,100","4,100","3,540",10.21,9.27,9.76
03/28/2012,"4,480","4,480","4,100",10.81,10.21,10.55
03/29/2012,"4,540","4,540","4,430",10.91,10.73,10.85
03/30/2012,"4,430","4,430","3,830",10.73,9.75,10.28
03/31/2012,,,"3,160",9.75,8.25,8.96
04/01/2012,"2,950","2,950","2,590",8.25,7.6,7.86
04/02/2012,"2,590","2,590","2,470",7.6,7.38,7.5
04/03/2012,"2,470","2,470","2,310",7.38,7.09,7.24
04/04/2012,"2,310","2,310","2,160",7.09,6.82,6.97
04/05/2012,"2,180","2,180","2,020",6.84,6.55,6.69
04/06/2012,"2,100","2,100","2,020",6.69,6.55,6.6
04/07/2012,"2,260","2,260","2,100",7,6.69,6.85
04/08/2012,"2,270","2,270","2,180",7.01,6.84,6.96
04/09/2012,"2,180","2,180","1,930",6.84,6.36,6.62
04/10/2012,"1,930","1,930","1,630",6.36,5.77,6.06
04/11/2012,"1,630","1,630","1,410",5.77,5.33,5.53
04/12/2012,"1,410","1,410","1,260",5.33,5.01,5.16
04/13/2012,"1,260","1,260","1,150",5.01,4.77,4.88
04/14/2012,"1,150","1,150","1,070",4.77,4.6,4.68
04/15/2012,"1,070","1,070","1,030",4.6,4.51,4.55
04/16/2012,"1,030","1,030",963,4.51,4.35,4.43
04/17/2012,963,963,885,4.35,4.17,4.26
04/18/2012,885,885,842,4.17,4.07,4.11
04/19/2012,911,911,846,4.23,4.08,4.11
04/20/2012,959,959,911,4.34,4.23,4.31
04/21/2012,919,919,855,4.25,4.1,4.16
04/22/2012,968,968,846,4.36,4.08,4.22
04/23/2012,"1,020","1,020",968,4.48,4.36,4.41
04/24/2012,,,"1,160",5.11,4.48,4.63
04/25/2012,,,"1,880",6.68,5.11,6.05
04/26/2012,"2,110","2,110","1,840",6.72,6.19,6.56
04/27/2012,"1,840","1,840","1,390",6.19,5.29,5.71
04/28/2012,"1,390","1,390","1,170",5.29,4.81,5.02
04/29/2012,"1,170","1,170","1,050",4.81,4.55,4.65
04/30/2012,"1,050","1,050",981,4.55,4.39,4.47
05/01/2012,981,981,950,4.39,4.32,4.35
05/02/2012,950,950,919,4.32,4.25,4.29
05/03/2012,919,919,842,4.25,4.07,4.16
05/04/2012,842,842,746,4.07,3.84,3.96
05/05/2012,787,787,692,3.94,3.71,3.79
05/06/2012,968,968,754,4.36,3.86,4
05/07/2012,"1,490","1,490",968,5.49,4.36,4.9
05/08/2012,,,"1,980",6.97,5.49,6.24
05/09/2012,"2,630","2,630","2,240",7.68,6.97,7.37
05/10/2012,"2,610","2,610","2,440",7.64,7.34,7.42
05/11/2012,"2,710","2,710","2,470",7.83,7.38,7.56
05/12/2012,"3,030","3,030","2,710",8.4,7.83,8.14
05/13/2012,"3,080","3,080","2,990",8.48,8.33,8.44
05/14/2012,"2,990","2,990","2,470",8.33,7.38,7.92
05/15/2012,"2,470","2,470","1,920",7.38,6.35,6.79
05/16/2012,"1,920","1,920","1,770",6.35,6.06,6.15
05/17/2012,"2,180","2,180","1,780",6.84,6.07,6.34
05/18/2012,"2,600","2,600","2,180",7.62,6.84,7.29
05/19/2012,"2,650","2,650","2,600",7.71,7.62,7.69
05/20/2012,"2,620","2,620","2,570",7.67,7.57,7.63
05/21/2012,"2,570","2,570","2,380",7.57,7.23,7.43
05/22/2012,"2,380","2,380","2,090",7.23,6.68,6.97
05/23/2012,"2,090","2,090","1,770",6.68,6.06,6.36
05/24/2012,"1,770","1,770","1,630",6.06,5.77,5.86
05/25/2012,"1,630","1,630","1,580",5.78,5.67,5.75
05/26/2012,"1,580","1,580","1,500",5.67,5.51,5.57
05/27/2012,"1,520","1,520","1,500",5.56,5.5,5.53
05/28/2012,"1,510","1,510","1,400",5.54,5.3,5.43
05/29/2012,"1,400","1,400","1,300",5.3,5.1,5.16
05/30/2012,,,"1,650",6.64,5.01,5.62
05/31/2012,"2,570","2,570","2,070",7.58,6.64,7.25
06/01/2012,"2,680","2,680","2,570",7.78,7.58,7.72
06/02/2012,"2,680","2,680","2,590",7.77,7.6,7.7
06/03/2012,"2,590","2,590","2,340",7.6,7.15,7.38
06/04/2012,"2,340","2,340","2,280",7.15,7.03,7.05
06/05/2012,"2,280","2,280","2,080",7.03,6.66,6.92
06/06/2012,"2,080","2,080","1,590",6.66,5.7,6.19
06/07/2012,"1,590","1,590","1,220",5.7,4.92,5.28
06/08/2012,"1,220","1,220","1,000",4.92,4.44,4.67
06/09/2012,"1,000","1,000",851,4.44,4.09,4.25
06/10/2012,851,851,796,4.09,3.96,4
06/11/2012,796,796,746,3.96,3.84,3.91
06/12/2012,746,746,684,3.84,3.69,3.77
06/13/2012,684,684,664,3.69,3.64,3.66
06/14/2012,680,680,644,3.68,3.59,3.64
06/15/2012,796,796,644,3.96,3.59,3.73
06/16/2012,954,954,796,4.33,3.96,4.19
06/17/2012,954,954,859,4.33,4.11,4.26
06/18/2012,859,859,721,4.11,3.78,3.94
06/19/2012,721,721,624,3.78,3.54,3.66
06/20/2012,624,624,557,3.54,3.37,3.46
06/21/2012,557,557,508,3.37,3.24,3.29
06/22/2012,508,508,470,3.24,3.14,3.17
06/23/2012,470,470,444,3.14,3.07,3.1
06/24/2012,500,500,437,3.22,3.05,3.09
06/25/2012,915,915,485,4.24,3.18,3.59
06/26/2012,937,937,796,4.29,3.96,4.1
06/27/2012,924,924,808,4.26,3.99,4.19
06/28/2012,924,924,829,4.26,4.04,4.16
06/29/2012,829,829,688,4.04,3.7,3.87
06/30/2012,688,688,542,3.7,3.33,3.51
07/01/2012,542,542,463,3.33,3.12,3.21
07/02/2012,463,463,404,3.12,2.96,3.02
07/03/2012,404,404,390,2.96,2.92,2.94
07/04/2012,390,390,358,2.92,2.83,2.86
07/05/2012,362,362,358,2.84,2.83,2.84
07/06/2012,362,362,358,2.84,2.83,2.84
07/07/2012,415,415,358,2.99,2.83,2.86
07/08/2012,600,600,415,3.48,2.99,3.3
07/09/2012,600,600,511,3.48,3.25,3.39
07/10/2012,511,511,433,3.25,3.04,3.11
07/11/2012,496,496,422,3.21,3.01,3.08
07/12/2012,573,573,401,3.41,2.95,3.07
07/13/2012,779,779,515,3.92,3.26,3.43
07/14/2012,"1,100","1,100",779,4.65,3.92,4.38
07/15/2012,"1,110","1,110","1,040",4.68,4.52,4.64
07/16/2012,"1,040","1,040",783,4.52,3.93,4.2
07/17/2012,783,783,664,3.93,3.64,3.77
07/18/2012,664,664,581,3.64,3.43,3.54
07/19/2012,581,581,481,3.43,3.17,3.3
07/20/2012,489,489,422,3.19,3.01,3.09
07/21/2012,616,616,470,3.52,3.14,3.26
07/22/2012,725,725,616,3.79,3.52,3.67
07/23/2012,"1,030","1,030",713,4.51,3.76,3.89
07/24/2012,,,"1,620",6.26,4.51,5.53
07/25/2012,"2,610","2,610","1,870",7.64,6.26,7.06
07/26/2012,"2,630","2,630","2,250",7.68,6.98,7.47
07/27/2012,"2,250","2,250","1,750",6.98,6.02,6.45
07/28/2012,"1,750","1,750","1,550",6.02,5.62,5.78
07/29/2012,"1,550","1,550","1,380",5.62,5.26,5.49
07/30/2012,"1,380","1,380","1,120",5.26,4.71,4.92
07/31/2012,"1,270","1,270","1,120",5.03,4.71,4.8
08/01/2012,"1,530","1,530","1,270",5.57,5.03,5.47
08/02/2012,"1,620","1,620","1,470",5.76,5.45,5.56
08/03/2012,"1,560","1,560","1,370",5.64,5.23,5.43
08/04/2012,"1,370","1,370","1,140",5.23,4.75,4.99
08/05/2012,"1,140","1,140","1,000",4.75,4.44,4.61
08/06/2012,"1,000","1,000",889,4.44,4.18,4.29
08/07/2012,911,911,881,4.23,4.16,4.17
08/08/2012,941,941,906,4.3,4.22,4.27
08/09/2012,906,906,863,4.22,4.12,4.16
08/10/2012,915,915,863,4.24,4.12,4.14
08/11/2012,"1,040","1,040",889,4.52,4.18,4.25
08/12/2012,"1,470","1,470","1,040",5.45,4.52,5.12
08/13/2012,"1,470","1,470","1,270",5.45,5.03,5.3
08/14/2012,"1,270","1,270",985,5.03,4.4,4.7
08/15/2012,985,985,859,4.4,4.11,4.24
08/16/2012,859,859,766,4.11,3.89,4
08/17/2012,766,766,713,3.89,3.76,3.83
08/18/2012,721,721,608,3.78,3.5,3.63
08/19/2012,"1,000","1,000",608,4.44,3.5,3.88
08/20/2012,"1,030","1,030",885,4.5,4.17,4.36
08/21/2012,985,985,924,4.4,4.26,4.34
08/22/2012,937,937,863,4.29,4.12,4.18
08/23/2012,"1,130","1,130",937,4.73,4.29,4.57
08/24/2012,"1,130","1,130","1,100",4.73,4.66,4.71
08/25/2012,"1,130","1,130","1,040",4.73,4.52,4.66
08/26/2012,"1,040","1,040",990,4.52,4.41,4.44
08/27/2012,994,994,946,4.42,4.31,4.34
08/28/2012,"1,450","1,450",972,5.41,4.37,4.88
08/29/2012,"1,530","1,530","1,450",5.57,5.41,5.52
08/30/2012,"1,480","1,480","1,270",5.47,5.02,5.23
08/31/2012,"1,270","1,270","1,030",5.02,4.5,4.75
09/01/2012,"1,030","1,030",834,4.5,4.05,4.26
09/02/2012,834,834,725,4.05,3.79,3.89
09/03/2012,737,737,725,3.82,3.79,3.8
09/04/2012,725,725,664,3.79,3.64,3.71
09/05/2012,680,680,664,3.68,3.64,3.65
09/06/2012,,,"1,090",5.5,3.68,4.44
09/07/2012,"1,730","1,730","1,500",5.97,5.5,5.86
09/08/2012,"1,640","1,640","1,230",5.79,4.95,5.34
09/09/2012,"1,680","1,680","1,200",5.87,4.87,5.19
09/10/2012,"1,800","1,800","1,620",6.12,5.76,6.01
09/11/2012,"1,660","1,660","1,480",5.84,5.46,5.59
09/12/2012,"1,790","1,790","1,660",6.1,5.84,6.02
09/13/2012,"1,680","1,680","1,280",5.87,5.05,5.44
09/14/2012,"1,280","1,280","1,070",5.05,4.6,4.81
09/15/2012,"1,070","1,070",911,4.6,4.23,4.42
09/16/2012,911,911,737,4.23,3.82,4.02
09/17/2012,737,737,648,3.82,3.6,3.7
09/18/2012,664,664,616,3.64,3.52,3.58
09/19/2012,668,668,632,3.65,3.56,3.58
09/20/2012,701,701,668,3.73,3.65,3.72
09/21/2012,,,946,5.13,3.72,4.18
09/22/2012,"1,580","1,580","1,320",5.68,5.13,5.55
09/23/2012,"1,510","1,510","1,160",5.54,4.8,5.16
09/24/2012,"1,160","1,160",963,4.8,4.35,4.55
09/25/2012,963,963,855,4.35,4.1,4.23
09/26/2012,855,855,737,4.1,3.82,3.96
09/27/2012,737,737,628,3.82,3.55,3.69
09/28/2012,628,628,557,3.55,3.37,3.47
09/29/2012,569,569,519,3.4,3.27,3.33
09/30/2012,527,527,515,3.29,3.26,3.28
10/01/2012,565,565,519,3.39,3.27,3.32
10/02/2012,838,838,565,4.06,3.39,3.63
10/03/2012,"1,140","1,140",838,4.75,4.06,4.49
10/04/2012,"1,150","1,150","1,140",4.77,4.74,4.76
10/05/2012,"1,150","1,150","1,080",4.77,4.62,4.72
10/06/2012,"1,080","1,080",946,4.62,4.31,4.46
10/07/2012,946,946,825,4.31,4.03,4.18
10/08/2012,825,825,771,4.03,3.9,3.97
10/09/2012,"1,090","1,090",775,4.64,3.91,4.09
10/10/2012,"1,370","1,370","1,090",5.23,4.64,5.08
10/11/2012,"1,510","1,510","1,360",5.53,5.22,5.32
10/12/2012,"1,590","1,590","1,510",5.69,5.53,5.64
10/13/2012,"1,540","1,540","1,300",5.6,5.1,5.37
10/14/2012,"1,300","1,300","1,080",5.1,4.61,4.85
10/15/2012,"1,080","1,080",902,4.61,4.21,4.4
10/16/2012,902,902,808,4.21,3.99,4.07
10/17/2012,808,808,721,3.99,3.78,3.9
10/18/2012,721,721,676,3.78,3.67,3.71
10/19/2012,791,791,688,3.95,3.7,3.86
10/20/2012,791,791,717,3.95,3.77,3.88
10/21/2012,717,717,656,3.77,3.62,3.69
10/22/2012,656,656,612,3.62,3.51,3.56
10/23/2012,612,612,585,3.51,3.44,3.48
10/24/2012,585,585,550,3.44,3.35,3.4
10/25/2012,550,550,519,3.35,3.27,3.31
10/26/2012,519,519,504,3.27,3.23,3.26
10/27/2012,515,515,493,3.26,3.2,3.22
10/28/2012,608,608,515,3.5,3.26,3.39
10/29/2012,542,542,511,3.33,3.25,3.29
10/30/2012,511,511,504,3.25,3.23,3.24
10/31/2012,519,519,504,3.27,3.23,3.25
11/01/2012,523,523,511,3.28,3.25,3.26
11/02/2012,713,713,523,3.76,3.28,3.51
11/03/2012,742,742,713,3.83,3.76,3.81
11/04/2012,713,713,632,3.76,3.56,3.65
11/05/2012,632,632,585,3.56,3.44,3.49
11/06/2012,585,585,546,3.44,3.34,3.39
11/07/2012,546,546,519,3.34,3.27,3.3
11/08/2012,519,519,511,3.27,3.25,3.26
11/09/2012,511,511,489,3.25,3.19,3.21
11/10/2012,489,489,481,3.19,3.17,3.18
11/11/2012,493,493,481,3.2,3.17,3.19
11/12/2012,485,485,481,3.18,3.17,3.17
11/13/2012,481,481,463,3.17,3.12,3.15
11/14/2012,463,463,444,3.12,3.07,3.09
11/15/2012,448,448,430,3.08,3.03,3.05
11/16/2012,448,448,441,3.08,3.06,3.07
11/17/2012,474,474,448,3.15,3.08,3.11
11/18/2012,496,496,474,3.21,3.15,3.18
11/19/2012,569,569,496,3.4,3.21,3.28
11/20/2012,600,600,569,3.48,3.4,3.46
11/21/2012,585,585,538,3.44,3.32,3.38
11/22/2012,538,538,504,3.32,3.23,3.27
11/23/2012,504,504,485,3.23,3.18,3.2
11/24/2012,485,485,470,3.18,3.14,3.15
11/25/2012,474,474,463,3.15,3.12,3.13
11/26/2012,463,463,455,3.12,3.1,3.11
11/27/2012,459,459,452,3.11,3.09,3.1
11/28/2012,463,463,448,3.12,3.08,3.09
11/29/2012,466,466,459,3.13,3.11,3.13
11/30/2012,459,459,452,3.11,3.09,3.1
12/01/2012,452,452,441,3.09,3.06,3.07
12/02/2012,452,452,441,3.09,3.06,3.07
12/03/2012,455,455,452,3.1,3.09,3.09
12/04/2012,452,452,433,3.09,3.04,3.06
12/05/2012,444,444,430,3.07,3.03,3.04
12/06/2012,455,455,444,3.1,3.07,3.07
12/07/2012,455,455,448,3.1,3.08,3.09
12/08/2012,448,448,441,3.08,3.06,3.08
12/09/2012,441,441,433,3.06,3.04,3.04
12/10/2012,448,448,433,3.08,3.04,3.06
12/11/2012,452,452,437,3.09,3.05,3.08
12/12/2012,474,474,437,3.15,3.05,3.07
12/13/2012,573,573,474,3.41,3.15,3.27
12/14/2012,701,701,573,3.73,3.41,3.63
12/15/2012,696,696,684,3.72,3.69,3.71
12/16/2012,766,766,696,3.89,3.72,3.8
12/17/2012,829,829,766,4.04,3.89,3.98
12/18/2012,881,881,829,4.16,4.04,4.09
12/19/2012,919,919,881,4.25,4.16,4.2
12/20/2012,"1,030","1,030",919,4.51,4.25,4.37
12/21/2012,"1,080","1,080","1,030",4.61,4.51,4.59
12/22/2012,"1,060","1,060",963,4.57,4.35,4.47
12/23/2012,963,963,906,4.35,4.22,4.26
12/24/2012,"1,070","1,070",911,4.6,4.23,4.42
12/25/2012,"1,080","1,080",994,4.61,4.42,4.55
12/26/2012,"1,020","1,020",946,4.47,4.31,4.4
12/27/2012,"1,390","1,390","1,020",5.29,4.47,4.8
12/28/2012,,,"1,800",6.61,5.29,5.91
12/29/2012,,,"2,680",8.53,6.61,7.7
12/30/2012,"3,480","3,480","3,110",9.17,8.53,8.93
12/31/2012,"3,490","3,490","3,320",9.19,8.9,9.1
01/01/2013,"3,320","3,320","2,900",8.9,8.16,8.54
01/02/2013,"2,900","2,900","2,560",8.16,7.56,7.88
01/03/2013,"2,560","2,560","2,290",7.56,7.06,7.31
01/04/2013,"2,290","2,290","2,150",7.06,6.79,6.87
01/05/2013,"2,200","2,200","2,150",6.89,6.79,6.85
01/06/2013,"2,200","2,200","1,990",6.88,6.49,6.72
01/07/2013,"1,990","1,990","1,710",6.49,5.94,6.21
01/08/2013,"1,710","1,710","1,490",5.94,5.49,5.71
01/09/2013,"1,490","1,490","1,320",5.49,5.13,5.31
01/10/2013,"1,320","1,320","1,210",5.13,4.89,5
01/11/2013,"1,210","1,210","1,130",4.89,4.73,4.8
01/12/2013,"1,130","1,130","1,070",4.73,4.58,4.65
01/13/2013,"1,070","1,070","1,040",4.58,4.52,4.54
01/14/2013,"1,050","1,050","1,010",4.54,4.46,4.49
01/15/2013,"1,030","1,030","1,020",4.51,4.48,4.5
01/16/2013,"1,040","1,040","1,020",4.52,4.49,4.51
01/17/2013,"1,030","1,030",994,4.51,4.42,4.45
01/18/2013,"1,110","1,110","1,030",4.69,4.51,4.55
01/19/2013,"1,290","1,290","1,110",5.06,4.69,4.87
01/20/2013,,,"1,930",7.2,5.06,6.04
01/21/2013,"3,010","3,010","2,370",8.35,7.2,7.9
01/22/2013,"3,260","3,260","3,010",8.79,8.35,8.58
01/23/2013,"3,460","3,460","3,260",9.13,8.79,8.97
01/24/2013,"3,530","3,530","3,460",9.26,9.13,9.21
01/25/2013,"3,530","3,530","3,520",9.26,9.24,9.25
01/26/2013,"3,520","3,520","3,450",9.24,9.12,9.17
01/27/2013,"3,460","3,460","3,390",9.13,9.01,9.08
01/28/2013,"3,390","3,390","3,030",9.01,8.4,8.8
01/29/2013,,,"2,540",8.4,7.16,7.76
01/30/2013,"2,350","2,350","2,050",7.16,6.61,6.83
01/31/2013,"2,080","2,080","2,030",6.65,6.57,6.6
02/01/2013,"2,040","2,040","2,010",6.59,6.52,6.56
02/02/2013,"2,010","2,010","1,890",6.52,6.29,6.41
02/03/2013,"1,890","1,890","1,790",6.29,6.09,6.21
02/04/2013,"1,790","1,790","1,730",6.09,5.98,6.02
02/05/2013,"1,740","1,740","1,720",6,5.95,5.99
02/06/2013,"1,720","1,720","1,640",5.95,5.79,5.88
02/07/2013,"1,640","1,640","1,550",5.79,5.61,5.7
02/08/2013,"2,160","2,160","1,630",6.81,5.77,6.39
02/09/2013,"2,600","2,600","2,160",7.62,6.81,7.28
02/10/2013,"2,940","2,940","2,600",8.23,7.62,7.86
02/11/2013,"3,420","3,420","2,940",9.07,8.23,8.68
02/12/2013,"3,650","3,650","3,420",9.45,9.07,9.3
02/13/2013,"3,680","3,680","3,620",9.5,9.41,9.47
02/14/2013,"3,620","3,620","3,430",9.41,9.08,9.25
02/15/2013,"3,430","3,430","3,320",9.08,8.89,8.96
02/16/2013,"3,370","3,370","3,310",8.98,8.88,8.92
02/17/2013,"3,380","3,380","3,350",9,8.95,8.98
02/18/2013,"3,350","3,350","2,980",8.95,8.3,8.7
02/19/2013,"2,980","2,980","2,510",8.3,7.46,7.83
02/20/2013,"2,510","2,510","2,290",7.46,7.06,7.26
02/21/2013,"2,290","2,290","2,100",7.06,6.69,6.87
02/22/2013,"2,100","2,100","2,000",6.69,6.5,6.59
02/23/2013,"2,360","2,360","2,000",7.19,6.5,6.74
02/24/2013,"3,030","3,030","2,360",8.4,7.19,7.83
02/25/2013,"3,470","3,470","3,030",9.16,8.4,8.8
02/26/2013,"4,150","4,150","3,470",10.28,9.16,9.66
02/27/2013,"4,710","4,710","4,150",11.19,10.28,10.74
02/28/2013,"5,170","5,170","4,710",11.91,11.19,11.58
03/01/2013,"5,410","5,410","5,170",12.27,11.91,12.11
03/02/2013,"5,550","5,550","5,410",12.49,12.27,12.38
03/03/2013,"5,690","5,690","5,550",12.69,12.49,12.6
03/04/2013,"5,710","5,710","5,680",12.72,12.67,12.71
03/05/2013,"5,680","5,680","5,380",12.67,12.23,12.49
03/06/2013,"5,380","5,380","4,780",12.23,11.29,11.78
03/07/2013,"4,780","4,780","4,090",11.29,10.19,10.75
03/08/2013,"4,090","4,090","3,490",10.19,9.18,9.65
03/09/2013,"3,490","3,490","3,170",9.18,8.63,8.88
03/10/2013,"3,170","3,170","2,890",8.63,8.15,8.4
03/11/2013,"2,890","2,890","2,410",8.15,7.27,7.77
03/12/2013,"2,410","2,410","2,000",7.27,6.51,6.83
03/13/2013,"2,000","2,000","1,940",6.51,6.39,6.44
03/14/2013,"1,980","1,980","1,930",6.47,6.36,6.38
03/15/2013,"2,180","2,180","1,980",6.85,6.47,6.68
03/16/2013,"2,290","2,290","2,180",7.06,6.85,6.92
03/17/2013,"2,450","2,450","2,290",7.35,7.06,7.23
03/18/2013,"2,450","2,450","2,310",7.35,7.09,7.27
03/19/2013,"2,310","2,310","2,080",7.09,6.66,6.86
03/20/2013,"2,080","2,080","1,970",6.66,6.45,6.54
03/21/2013,"1,970","1,970","1,910",6.45,6.33,6.38
03/22/2013,"1,910","1,910","1,700",6.33,5.91,6.16
03/23/2013,"1,700","1,700","1,450",5.91,5.4,5.63
03/24/2013,"1,450","1,450","1,380",5.4,5.27,5.31
03/25/2013,"1,380","1,380","1,370",5.27,5.24,5.25
03/26/2013,"1,370","1,370","1,370",5.24,5.23,5.23
03/27/2013,"1,670","1,670","1,370",5.86,5.24,5.49
